,name,code,sector,series_id,units,year,value,source
0,"Coal Industrial Sector CO2 Emissions, Annual",CLICEUS,Industrial,TOTAL.CLICEUS.A,Million Metric Tons of Carbon Dioxide,2018,109.967,Coal
1,"Coal Industrial Sector CO2 Emissions, Annual",CLICEUS,Industrial,TOTAL.CLICEUS.A,Million Metric Tons of Carbon Dioxide,2017,111.616,Coal
2,"Coal Industrial Sector CO2 Emissions, Annual",CLICEUS,Industrial,TOTAL.CLICEUS.A,Million Metric Tons of Carbon Dioxide,2016,112.702,Coal
3,"Coal Industrial Sector CO2 Emissions, Annual",CLICEUS,Industrial,TOTAL.CLICEUS.A,Million Metric Tons of Carbon Dioxide,2015,128.941,Coal
4,"Coal Industrial Sector CO2 Emissions, Annual",CLICEUS,Industrial,TOTAL.CLICEUS.A,Million Metric Tons of Carbon Dioxide,2014,143.075,Coal
5,"Coal Industrial Sector CO2 Emissions, Annual",CLICEUS,Industrial,TOTAL.CLICEUS.A,Million Metric Tons of Carbon Dioxide,2013,144.563,Coal
6,"Coal Industrial Sector CO2 Emissions, Annual",CLICEUS,Industrial,TOTAL.CLICEUS.A,Million Metric Tons of Carbon Dioxide,2012,141.47,Coal
7,"Coal Industrial Sector CO2 Emissions, Annual",CLICEUS,Industrial,TOTAL.CLICEUS.A,Million Metric Tons of Carbon Dioxide,2011,145.983,Coal
8,"Coal Industrial Sector CO2 Emissions, Annual",CLICEUS,Industrial,TOTAL.CLICEUS.A,Million Metric Tons of Carbon Dioxide,2010,152.679,Coal
9,"Coal Industrial Sector CO2 Emissions, Annual",CLICEUS,Industrial,TOTAL.CLICEUS.A,Million Metric Tons of Carbon Dioxide,2009,130.545,Coal
46,"Distillate Fuel Oil Industrial Sector CO2 Emissions, Annual",DFICEUS,Industrial,TOTAL.DFICEUS.A,Million Metric Tons of Carbon Dioxide,2018,92.306,Distillate Fuel Oil
47,"Distillate Fuel Oil Industrial Sector CO2 Emissions, Annual",DFICEUS,Industrial,TOTAL.DFICEUS.A,Million Metric Tons of Carbon Dioxide,2017,87.969,Distillate Fuel Oil
48,"Distillate Fuel Oil Industrial Sector CO2 Emissions, Annual",DFICEUS,Industrial,TOTAL.DFICEUS.A,Million Metric Tons of Carbon Dioxide,2016,84.446,Distillate Fuel Oil
49,"Distillate Fuel Oil Industrial Sector CO2 Emissions, Annual",DFICEUS,Industrial,TOTAL.DFICEUS.A,Million Metric Tons of Carbon Dioxide,2015,85.38,Distillate Fuel Oil
50,"Distillate Fuel Oil Industrial Sector CO2 Emissions, Annual",DFICEUS,Industrial,TOTAL.DFICEUS.A,Million Metric Tons of Carbon Dioxide,2014,99.7,Distillate Fuel Oil
51,"Distillate Fuel Oil Industrial Sector CO2 Emissions, Annual",DFICEUS,Industrial,TOTAL.DFICEUS.A,Million Metric Tons of Carbon Dioxide,2013,92.428,Distillate Fuel Oil
52,"Distillate Fuel Oil Industrial Sector CO2 Emissions, Annual",DFICEUS,Industrial,TOTAL.DFICEUS.A,Million Metric Tons of Carbon Dioxide,2012,92.799,Distillate Fuel Oil
53,"Distillate Fuel Oil Industrial Sector CO2 Emissions, Annual",DFICEUS,Industrial,TOTAL.DFICEUS.A,Million Metric Tons of Carbon Dioxide,2011,90.21,Distillate Fuel Oil
54,"Distillate Fuel Oil Industrial Sector CO2 Emissions, Annual",DFICEUS,Industrial,TOTAL.DFICEUS.A,Million Metric Tons of Carbon Dioxide,2010,84.176,Distillate Fuel Oil
55,"Distillate Fuel Oil Industrial Sector CO2 Emissions, Annual",DFICEUS,Industrial,TOTAL.DFICEUS.A,Million Metric Tons of Carbon Dioxide,2009,78.017,Distillate Fuel Oil
92,"HGL Industrial Sector CO2 Emissions, Annual",HLICEUS,Industrial,TOTAL.HLICEUS.A,Million Metric Tons of Carbon Dioxide,2018,56.836,HGL
93,"HGL Industrial Sector CO2 Emissions, Annual",HLICEUS,Industrial,TOTAL.HLICEUS.A,Million Metric Tons of Carbon Dioxide,2017,52.732,HGL
94,"HGL Industrial Sector CO2 Emissions, Annual",HLICEUS,Industrial,TOTAL.HLICEUS.A,Million Metric Tons of Carbon Dioxide,2016,51.074,HGL
95,"HGL Industrial Sector CO2 Emissions, Annual",HLICEUS,Industrial,TOTAL.HLICEUS.A,Million Metric Tons of Carbon Dioxide,2015,53.36,HGL
96,"HGL Industrial Sector CO2 Emissions, Annual",HLICEUS,Industrial,TOTAL.HLICEUS.A,Million Metric Tons of Carbon Dioxide,2014,45.533,HGL
97,"HGL Industrial Sector CO2 Emissions, Annual",HLICEUS,Industrial,TOTAL.HLICEUS.A,Million Metric Tons of Carbon Dioxide,2013,53.056,HGL
98,"HGL Industrial Sector CO2 Emissions, Annual",HLICEUS,Industrial,TOTAL.HLICEUS.A,Million Metric Tons of Carbon Dioxide,2012,50.339,HGL
99,"HGL Industrial Sector CO2 Emissions, Annual",HLICEUS,Industrial,TOTAL.HLICEUS.A,Million Metric Tons of Carbon Dioxide,2011,39.529,HGL
100,"HGL Industrial Sector CO2 Emissions, Annual",HLICEUS,Industrial,TOTAL.HLICEUS.A,Million Metric Tons of Carbon Dioxide,2010,43.444,HGL
101,"HGL Industrial Sector CO2 Emissions, Annual",HLICEUS,Industrial,TOTAL.HLICEUS.A,Million Metric Tons of Carbon Dioxide,2009,37.949,HGL
138,"Kerosene Industrial Sector CO2 Emissions, Annual",KSICEUS,Industrial,TOTAL.KSICEUS.A,Million Metric Tons of Carbon Dioxide,2018,0.079,Kerosene
139,"Kerosene Industrial Sector CO2 Emissions, Annual",KSICEUS,Industrial,TOTAL.KSICEUS.A,Million Metric Tons of Carbon Dioxide,2017,0.081,Kerosene
140,"Kerosene Industrial Sector CO2 Emissions, Annual",KSICEUS,Industrial,TOTAL.KSICEUS.A,Million Metric Tons of Carbon Dioxide,2016,0.164,Kerosene
141,"Kerosene Industrial Sector CO2 Emissions, Annual",KSICEUS,Industrial,TOTAL.KSICEUS.A,Million Metric Tons of Carbon Dioxide,2015,0.125,Kerosene
142,"Kerosene Industrial Sector CO2 Emissions, Annual",KSICEUS,Industrial,TOTAL.KSICEUS.A,Million Metric Tons of Carbon Dioxide,2014,0.205,Kerosene
143,"Kerosene Industrial Sector CO2 Emissions, Annual",KSICEUS,Industrial,TOTAL.KSICEUS.A,Million Metric Tons of Carbon Dioxide,2013,0.107,Kerosene
144,"Kerosene Industrial Sector CO2 Emissions, Annual",KSICEUS,Industrial,TOTAL.KSICEUS.A,Million Metric Tons of Carbon Dioxide,2012,0.145,Kerosene
145,"Kerosene Industrial Sector CO2 Emissions, Annual",KSICEUS,Industrial,TOTAL.KSICEUS.A,Million Metric Tons of Carbon Dioxide,2011,0.261,Kerosene
146,"Kerosene Industrial Sector CO2 Emissions, Annual",KSICEUS,Industrial,TOTAL.KSICEUS.A,Million Metric Tons of Carbon Dioxide,2010,0.529,Kerosene
147,"Kerosene Industrial Sector CO2 Emissions, Annual",KSICEUS,Industrial,TOTAL.KSICEUS.A,Million Metric Tons of Carbon Dioxide,2009,0.318,Kerosene
184,"Lubricants Industrial Sector CO2 Emissions, Annual",LUICEUS,Industrial,TOTAL.LUICEUS.A,Million Metric Tons of Carbon Dioxide,2018,4.314,Lubricants
